,obg,,,,,
,ra,dec,pmra,pmdec,mag,epoch
0,200.0067711,88.5816556,15.7,5.7,16.284,2004.128
1,200.0312053,88.7951439,-14.7,-9.9,15.041,2004.166
2,200.0366836,88.5047178,-5.1,-6.3,15.859,2004.15
3,200.0963881,88.5900236,-32.5,-5.8,14.796,2004.156
4,200.1109261,88.9428033,-3.7,-16.4,14.74,2004.159
5,200.1209064,88.4025997,-17.3,12.6,11.13,2004.159
6,200.1262236,89.2411106,8.5,-3.9,16.566,2004.128
7,200.1269533,88.0357336,-1.6,-4.1,15.75,2004.164
8,200.1644919,88.1997369,-3.7,-8.3,16.602,2004.128
9,200.2796142,89.0174367,5.0,3.3,15.591,2004.167
10,200.484245,88.0518628,-3.8,1.4,15.263,2004.16
11,200.5008108,88.2967711,0.5,-6.6,16.011,2004.128
12,200.5233383,88.7735517,1.7,3.6,11.44,2004.166
13,200.5364781,88.6566433,-5.7,-15.4,15.051,2004.156
14,200.5864183,88.17397,3.7,0.1,16.205,2004.128
15,200.5911539,88.895675,-7.7,-8.4,16.107,2004.148
16,200.5969058,88.6852653,15.6,-7.9,16.407,2004.128
17,200.6050022,88.7071275,-0.4,-5.1,10.734,2004.165
18,200.6137128,88.7407683,4.4,8.1,16.094,2004.128
19,200.6891314,88.9539247,-15.6,0.6,16.139,2004.128
20,200.7032789,88.1192983,-17.1,-15.6,13.604,2004.173
21,200.7061786,88.8479128,11.9,-3.1,11.726,2004.166
22,200.7429389,88.4507414,-16.9,1.9,15.362,2004.153
23,200.7464722,88.7527144,16.8,0.0,16.706,2004.128
24,200.7691686,88.4872683,-1.5,-1.4,16.09,2004.133
25,200.7703069,88.6707611,-14.4,9.0,14.538,2004.153
26,200.77127,88.35434,18.4,-15.1,14.564,2004.155
27,200.7889336,88.7995031,-11.2,13.6,16.023,2004.128
28,200.8074856,88.1681161,-7.7,15.8,16.454,2004.128
29,200.8391583,88.5411572,-11.1,6.1,14.651,2004.164
30,200.8455156,88.2109972,-3.6,-0.8,15.342,2004.151
31,200.8559042,88.0241217,2.9,3.2,15.966,2004.159
32,200.86809,89.2703367,-4.2,-6.2,13.544,2004.169
33,200.8697947,88.1922053,-1.5,-14.9,13.277,2004.174
34,200.8967389,88.5059389,5.2,-3.5,14.122,2004.17
35,200.8998153,88.0182383,-6.0,18.7,16.531,2004.128
36,200.9095231,89.1599106,-8.4,3.5,16.074,2004.128
37,200.9198458,89.3175517,12.8,-4.9,16.418,2004.128
38,200.9258642,88.4610364,5.8,-14.5,16.58,2004.128
39,200.9263803,89.3674983,-18.5,3.7,16.168,2004.128
40,200.9344078,88.8099053,-40.8,4.5,13.631,2004.161
41,200.9662264,89.1803956,11.2,2.0,14.877,2004.161
42,200.9844881,88.3176433,-5.3,7.5,15.576,2004.156
43,200.9865028,89.6286081,2.0,-1.6,13.637,2004.208
44,200.9917233,88.4089272,-28.2,2.5,12.28,2004.169
